model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
ARIMAX,baseline,Canada,0,0.01260161751064107,0.1218176221233381,0.14865843258038205,49.26642810961814
ARIMAX,baseline,Canada,1,0.04208626962440636,0.11275095607849632,0.13206506051899544,0.3957740131746758
ARIMAX,baseline,Canada,2,0.061326818012604326,0.27651642940507093,0.31366364291891313,0.4810755467233902
ARIMAX,baseline,Canada,3,0.09493306410437967,0.10079615569009456,0.11381870418492916,0.35612527276464406
ARIMAX,baseline,Canada,4,0.06721979125964495,0.05387831221868179,0.06014831769798995,0.10300853820812256
ARIMAX,baseline,Russian Federation,0,4.4151333907338495e-06,0.3257585883169969,0.3507080350348289,0.41374394104148643
ARIMAX,baseline,Russian Federation,1,0.19695476607299559,0.021364948284226012,0.025845769147174708,0.03765601999594917
ARIMAX,baseline,Russian Federation,2,0.05830537914827346,0.1395398052239339,0.1537897816690106,0.32431681187920147
ARIMAX,baseline,Russian Federation,3,0.06206920628087742,0.1309978078357649,0.1517185243416023,0.45026878174323454
ARIMAX,baseline,Russian Federation,4,0.0669001692566071,0.12892753633296067,0.21170040025927686,0.2771280063342588
ARIMAX,baseline,China,0,5.635919736436877e-05,0.004908364191775483,0.006227437983760174,0.006890505100118479
ARIMAX,baseline,China,1,0.0016407613031783216,0.03304329216301202,0.04325976179748307,0.062048506762958575
ARIMAX,baseline,China,2,0.0056277984184577075,0.04622336837869108,0.048177389021971447,2.5093498014685696
ARIMAX,baseline,China,3,0.004538760549286474,0.023605763888474823,0.0289547712873923,0.15495161122703405
ARIMAX,baseline,China,4,0.041616705991225925,0.04518755454689649,0.07003813418764158,0.0873646673913317
ARIMAX,baseline,United States,0,0.6998202061571722,0.10735821074033969,0.12603694194010742,0.16065737933527813
ARIMAX,baseline,United States,1,0.06621430619904915,0.18649087160356081,0.1977803914732632,0.25420399026289314
ARIMAX,baseline,United States,2,1.7733629098536041,0.1652894253411337,0.18087065343030195,0.2133628115003644
ARIMAX,baseline,United States,3,0.06639347252684931,0.14313003018401493,0.1475016162082936,0.9015142037279944
ARIMAX,baseline,United States,4,0.4527519562054149,0.23657132794959926,0.28739970991008607,5.27380877427409
ARIMAX,baseline,India,0,0.07615278153052876,0.009289050318892739,0.00946515287867959,0.014193944391625973
ARIMAX,baseline,India,1,0.05522102832399911,0.014192361307977353,0.017175823540621905,0.02761330261377704
ARIMAX,baseline,India,2,0.01972678029712054,0.020932871315145943,0.03108665289330297,0.08586128925660266
ARIMAX,baseline,India,3,0.01883896749316384,0.028544868215931784,0.045225609413346454,0.3062595957792853
ARIMAX,baseline,India,4,0.012558433557467176,0.033704162792709255,0.03928570488840229,0.10841764170637794
