model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
XGBoost,baseline,Canada,0,0.0004538275181179922,0.17654166923380754,0.17971041742865568,26.9350410636235
XGBoost,baseline,Canada,1,0.0003056669896612796,0.10713465730211502,0.13370022683323549,0.2881291650720569
XGBoost,baseline,Canada,2,0.0002405923604236193,0.13303270455618854,0.15223915038689206,0.22058927629403363
XGBoost,baseline,Canada,3,0.0002233683102353328,0.11272083001375344,0.13426288715471932,0.4126492782752941
XGBoost,baseline,Canada,4,0.00023680437972832408,0.05800037938391789,0.06009622862413462,0.10975823357376885
XGBoost,baseline,Russian Federation,0,0.004978264846638681,0.144808468744821,0.19881950203492713,0.1753256063437941
XGBoost,baseline,Russian Federation,1,0.0045381383726280766,0.061412513874522956,0.10357428138300652,0.11636025982251685
XGBoost,baseline,Russian Federation,2,0.0033907053991524615,0.04435082119668121,0.06149107044113972,0.11085654293390293
XGBoost,baseline,Russian Federation,3,0.002581463864724628,0.14570700513324453,0.20179787634822585,0.373986233458249
XGBoost,baseline,Russian Federation,4,0.00263866022349151,0.0873752406839261,0.11080794031634386,0.1973770555868018
XGBoost,baseline,China,0,0.0002824688346760677,0.017329600124419503,0.01820176586498376,0.023745590384473075
XGBoost,baseline,China,1,0.0003285777676744317,0.07966502690634167,0.08892823693021787,0.16499283518557578
XGBoost,baseline,China,2,0.00040699700540771814,0.09772010679624105,0.1035358471435855,2.6451612168935323
XGBoost,baseline,China,3,0.00034705126030107027,0.10904325873592563,0.11484813487812569,0.5484893826205848
XGBoost,baseline,China,4,0.00034123158788906816,0.035448622021232834,0.04565819032628801,0.06891971503042395
XGBoost,baseline,United States,0,0.0006101175464120109,0.15552332217091336,0.19960431521564242,0.22262783882078901
XGBoost,baseline,United States,1,0.0006795816081299755,0.11681026534762307,0.12774876831497883,0.1593807485316981
XGBoost,baseline,United States,2,0.0005207121286330592,0.10608241251037676,0.11988385842863136,0.1536482175929894
XGBoost,baseline,United States,3,0.0005213464266884652,0.2548113747807337,0.3083979061100371,2.292461906561637
XGBoost,baseline,United States,4,0.0005573384857124886,0.11244191073298615,0.1202960439384113,1.6653515529321554
XGBoost,baseline,India,0,0.0003243857931651828,0.03184743694180281,0.0335539005549818,0.04706823457156195
XGBoost,baseline,India,1,0.000276173095522414,0.033361048894138184,0.03866486530828568,0.06139522705507251
XGBoost,baseline,India,2,0.000245803402355828,0.067617543553911,0.07026970540240964,0.21487058187261304
XGBoost,baseline,India,3,0.0002166228827121561,0.09493501647288416,0.09711230993235162,2.542335652428164
XGBoost,baseline,India,4,0.0001867030506206089,0.05720162236184556,0.07004667917891359,0.20359440258284764
XGBoost,baseline,Indonesia,0,0.00034937202734678746,0.03618774928124202,0.04490831167671774,0.06384180241355418
XGBoost,baseline,Indonesia,1,0.0003621602053463846,0.04706053715600941,0.05536967320605509,0.11912002341479083
XGBoost,baseline,Indonesia,2,0.00035825288800863823,0.035165295394946505,0.04307491898455224,0.1434603200515065
